report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,potential_numeric,actual_numeric,description_length,risk,selection_band,annotation_status,sif_reason,evidence_text,hazard_notes,consequence_notes,barrier_notes,annotator_confidence,annotator_id,annotated_at_utc,exposure_notes
industrial_safety_000430,industrial_safety_analytics_database,incident,2017-06-19T00:00:00,Country_03,Local_10,Others,,,"During the execution of the task of assembling the box of testimony boxes, in the area of ​​Bonsucesso, around 10:40 am Orlando research driller - GEOSOL, trying to fit two parts of the trestles, a third piece fell on his hand, which was on the piece he held, causing a small trauma to his left thumb. The employee was referred to São Lucas hospital - Paracatu LTDA and attended and released without leaving work soon after.",,,,,['Others'],[],[],[],[],[],III,IV,,,v0.1,Male,Third Party,during the execution of the task of assembling the box of testimony boxes in the area of bonsucesso around 1040 am orlando research driller  geosol trying to fit two parts of the trestles a third piece fell on his hand which was on the piece he held causing a small trauma to his left thumb the employee was referred to são lucas hospital  paracatu ltda and attended and released without leaving work soon after,DUP_0132,1,False,4,4,3,424,['Others'],medium_high,pending,,,,,,,,,
industrial_safety_000431,industrial_safety_analytics_database,incident,2017-06-22T00:00:00,Country_03,Local_10,Others,,,"The technician was returning from his activities on the bite, when he stepped on a loose rock over a sloping region. She released herself unbalancing the employee who stepped on false, twisting her ankle.",,,,,['Others'],[],[],[],[],[],I,IV,,,v0.1,Male,Employee,the technician was returning from his activities on the bite when he stepped on a loose rock over a sloping region she released herself unbalancing the employee who stepped on false twisting her ankle,DUP_0354,1,False,4,4,1,204,['Others'],medium_high,pending,,,,,,,,,
industrial_safety_000005,industrial_safety_analytics_database,incident,2016-01-12T00:00:00,Country_02,Local_05,Metals,,,"During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck. In performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes.",,,,,['Pressurized Systems'],[],[],[],[],[],I,III,,,v0.1,Male,Third Party (Remote),during the unloading operation of the ustulado bag there was a need to unclog the discharge mouth of the silo truck in performing this procedure there was a maneuver of unhooking the hose without the total depressurisation of the mouth projecting ustulado powder in the collaborator caused irritation in the eyes,DUP_0159,1,False,3,3,1,316,['Pressurized Systems'],medium,pending,,,,,,,,,
industrial_safety_000006,industrial_safety_analytics_database,incident,2016-01-16T00:00:00,Country_02,Local_05,Metals,,,"The collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand.",,,,,['Fall prevention (same level)'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,the collaborator reports that he was on street 09 holding in his left hand the volumetric balloon when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand,DUP_0293,1,False,3,3,1,234,['Fall prevention (same level)'],medium,pending,,,,,,,,,
industrial_safety_000014,industrial_safety_analytics_database,incident,2016-02-04T00:00:00,Country_02,Local_05,Metals,,,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder.",,,,,['Confined space'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,due to the accumulation of waelz on the conveyor and trailer of the filter 08fi0502 the employee performed the cleaning of the shutter using the air lance when he was surprised by the fall of the product that was above the door passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder,DUP_0107,1,False,3,3,1,334,['Confined space'],medium,pending,,,,,,,,,
industrial_safety_000056,industrial_safety_analytics_database,incident,2016-03-02T00:00:00,Country_01,Local_06,Metals,,,"During the start of the neutral leaching process, the employee Jhonatan proceeds to open the air valve of the tank Airlift a circumstance in which the process solution returns through the chimney, the solution coming into contact with the arm and right foot.",,,,,['Blocking and isolation of energies'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,during the start of the neutral leaching process the employee jhonatan proceeds to open the air valve of the tank airlift a circumstance in which the process solution returns through the chimney the solution coming into contact with the arm and right foot,DUP_0154,1,False,3,3,1,258,['Blocking and isolation of energies'],medium,pending,,,,,,,,,
industrial_safety_000101,industrial_safety_analytics_database,incident,2016-04-14T00:00:00,Country_02,Local_08,Metals,,,"During the cleaning of the 16 ""vertical pipe using the hydrojet equipment (high pressure hose), the hose returned due to obstruction of the pipe with residue, reaching the operator who was actuating the equipment pedal .",,,,,['Pressurized Systems'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,during the cleaning of the 16 vertical pipe using the hydrojet equipment high pressure hose the hose returned due to obstruction of the pipe with residue reaching the operator who was actuating the equipment pedal,DUP_0123,1,False,3,3,1,220,['Pressurized Systems'],medium,pending,,,,,,,,,
industrial_safety_000134,industrial_safety_analytics_database,incident,2016-05-22T00:00:00,Country_02,Local_08,Metals,,,"During the maintenance on the LX-P-205B pump, there was the projection of silicate pulp, reaching the right leg of the employee.",,,,,['Blocking and isolation of energies'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,during the maintenance on the lxp205b pump there was the projection of silicate pulp reaching the right leg of the employee,DUP_0139,1,False,3,3,1,128,['Blocking and isolation of energies'],medium,pending,,,,,,,,,
industrial_safety_000189,industrial_safety_analytics_database,incident,2016-07-18T00:00:00,Country_01,Local_06,Metals,,,"At 21:15 hours on 07/18/2016, the collaborator Warrin (welder), when trying to inspect a cracking point in the INLET of the G2143 laminator, slips and falls to the same level hitting his face and hand , he was immediately transferred to the medical service for evaluation.",,,,,['Fall prevention (same level)'],[],[],[],[],[],I,III,,,v0.1,Male,Third Party,at 2115 hours on 07182016 the collaborator warrin welder when trying to inspect a cracking point in the inlet of the g2143 laminator slips and falls to the same level hitting his face and hand  he was immediately transferred to the medical service for evaluation,DUP_0031,1,False,3,3,1,272,['Fall prevention (same level)'],medium,pending,,,,,,,,,
industrial_safety_000205,industrial_safety_analytics_database,incident,2016-08-14T00:00:00,Country_02,Local_08,Metals,,,"The employee Mr. Nilton made the opening of the visit to unclog, at this moment occurred projection of hot material, occurring the accident.",,,,,['Projection'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,the employee mr nilton made the opening of the visit to unclog at this moment occurred projection of hot material occurring the accident,DUP_0298,1,False,3,3,1,140,['Projection'],medium,pending,,,,,,,,,
industrial_safety_000246,industrial_safety_analytics_database,incident,2016-10-04T00:00:00,Country_03,Local_10,Others,,,"In the probe 5068 bore BAPDD00146, around 15:00 hours, the polling assistant Luciano da Silva performing the maneuver of descending rods, led the rod to the gutter, but this when not leaning suitably came to escape the gutter returning toward the easel. His hand had slipped and his little finger was between the rod and the easel. Realizing that the shaft had returned, he released it. immediately, but his little finger was partially hit by the rim of the rod against the easel resulting in a cut. The auxiliary was taken to hospital and attended to, the wound resulted in 5 points and the was released for administrative activities.",,,,,['Others'],[],[],[],[],[],III,III,,,v0.1,Male,Employee,in the probe 5068 bore bapdd00146 around 1500 hours the polling assistant luciano da silva performing the maneuver of descending rods led the rod to the gutter but this when not leaning suitably came to escape the gutter returning toward the easel his hand had slipped and his little finger was between the rod and the easel realizing that the shaft had returned he released it immediately but his little finger was partially hit by the rim of the rod against the easel resulting in a cut the auxiliary was taken to hospital and attended to the wound resulted in 5 points and the was released for administrative activities,DUP_0244,1,False,3,3,3,635,['Others'],medium,pending,,,,,,,,,
industrial_safety_000255,industrial_safety_analytics_database,incident,2016-10-20T00:00:00,Country_02,Local_05,Metals,,,"As the employee cleaned the thermal recovery boiler using an air boom, the hose loosened from the pipe connection, drawing a jet of compressed air toward his right ear, causing impact noise.",,,,,['Pressurized Systems'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,as the employee cleaned the thermal recovery boiler using an air boom the hose loosened from the pipe connection drawing a jet of compressed air toward his right ear causing impact noise,DUP_0020,1,False,3,3,1,190,['Pressurized Systems'],medium,pending,,,,,,,,,
industrial_safety_000319,industrial_safety_analytics_database,incident,2017-01-24T00:00:00,Country_02,Local_05,Metals,,,"Employee was transiting the GRS area when he came to slip, suffering a twist in his left knee.",,,,,['Fall'],[],[],[],[],[],I,III,,,v0.1,Male,Third Party (Remote),employee was transiting the grs area when he came to slip suffering a twist in his left knee,DUP_0189,1,False,3,3,1,94,['Fall'],medium,pending,,,,,,,,,
industrial_safety_000335,industrial_safety_analytics_database,incident,2017-02-08T00:00:00,Country_01,Local_04,Mining,,,The injured collaborator and one of his colleagues wanted to move a rim of a scoop tire for which using their own strength they threw the rim to the floor to make it roll and in that instant the eyelash hits the fifth finger of the right hand against the ring producing the injury.,,,,,['Cut'],[],[],[],[],[],II,III,,,v0.1,Male,Third Party,the injured collaborator and one of his colleagues wanted to move a rim of a scoop tire for which using their own strength they threw the rim to the floor to make it roll and in that instant the eyelash hits the fifth finger of the right hand against the ring producing the injury,DUP_0332,1,False,3,3,2,281,['Cut'],medium,pending,,,,,,,,,
industrial_safety_000336,industrial_safety_analytics_database,incident,2017-02-08T00:00:00,Country_01,Local_06,Metals,,,"When averaging 04:30 am, the operator Daniel removed cleaning accessories under the mobile channel of line 01, for which he supported his left hand on the rail that was in motion. At that moment the crushing of the 2nd finger of the left hand occurs; the injury occurs. The collaborator is referred to the Medical for care.",,,,,['Machine Protection'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,when averaging 0430 am the operator daniel removed cleaning accessories under the mobile channel of line 01 for which he supported his left hand on the rail that was in motion at that moment the crushing of the 2nd finger of the left hand occurs the injury occurs the collaborator is referred to the medical for care,DUP_0366,1,False,3,3,1,323,['Machine Protection'],medium,pending,,,,,,,,,
industrial_safety_000366,industrial_safety_analytics_database,incident,2017-03-09T00:00:00,Country_02,Local_05,Metals,,,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand.",,,,,['Machine Protection'],[],[],[],[],[],I,III,,,v0.1,Male,Third Party,employee was performing maintenance on filter press in the filtration area grs when he dismantled the hose clamp in a turning motion he had contact with the burr of the tip of one of the screws that was exposed causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand,DUP_0185,1,False,3,3,1,299,['Machine Protection'],medium,pending,,,,,,,,,
industrial_safety_000416,industrial_safety_analytics_database,incident,2017-06-09T00:00:00,Country_01,Local_06,Metals,,,"Mr. Emerson was moving trays; when climbing the staircase that gives access to the former dining room and finding himself on the last step, he slips and falls to the floor; supporting the body forward, suffering blows to the right knee with the floor, as well as in the nose with the metal trays it was carrying, causing a cut in the nose and ematoma in the knee.",,,,,['Fall'],[],[],[],[],[],I,III,,,v0.1,Male,Third Party,mr emerson was moving trays when climbing the staircase that gives access to the former dining room and finding himself on the last step he slips and falls to the floor supporting the body forward suffering blows to the right knee with the floor as well as in the nose with the metal trays it was carrying causing a cut in the nose and ematoma in the knee,DUP_0255,1,False,3,3,1,363,['Fall'],medium,pending,,,,,,,,,
industrial_safety_000120,industrial_safety_analytics_database,incident,2016-05-04T00:00:00,Country_03,Local_10,Others,,,"When performing geological mapping activity, it was necessary to hammer a rock for analysis, at the moment when the clerk held it, a pointed fragment slipped on the third quirodactyl of the right hand causing a superficial cut.",,,,,['Manual Tools'],[],[],[],[],[],I,I,,,v0.1,Male,Third Party,when performing geological mapping activity it was necessary to hammer a rock for analysis at the moment when the clerk held it a pointed fragment slipped on the third quirodactyl of the right hand causing a superficial cut,DUP_0388,1,False,1,1,1,227,['Manual Tools'],lower,pending,,,,,,,,,
industrial_safety_000164,industrial_safety_analytics_database,incident,2016-06-18T00:00:00,Country_03,Local_10,Others,,,"While traveling in the field in order to make geological mapping, the geologist Manoel who was accompanied by the prospector Marcos stooped to deviate from the vegetation, at that time, received three whistling stings being them, two on the face and one on the neck. There was no allergic reaction and activities followed normally after the event.",,,,,['Bees'],[],[],[],[],[],I,I,,,v0.1,Male,Employee,while traveling in the field in order to make geological mapping the geologist manoel who was accompanied by the prospector marcos stooped to deviate from the vegetation at that time received three whistling stings being them two on the face and one on the neck there was no allergic reaction and activities followed normally after the event,DUP_0411,1,False,1,1,1,347,['Bees'],lower,pending,,,,,,,,,
industrial_safety_000165,industrial_safety_analytics_database,incident,2016-06-18T00:00:00,Country_03,Local_10,Others,,,"When moving in the field to make geological mapping, the prospector Marcos who was accompanied by the geologist Manoel stooped to deviate from the vegetation, at that moment, received a whistling sting in the ring finger of his right hand. There was no allergic reaction and activities followed normally after the event.",,,,,['Bees'],[],[],[],[],[],I,I,,,v0.1,Male,Third Party,when moving in the field to make geological mapping the prospector marcos who was accompanied by the geologist manoel stooped to deviate from the vegetation at that moment received a whistling sting in the ring finger of his right hand there was no allergic reaction and activities followed normally after the event,DUP_0383,1,False,1,1,1,320,['Bees'],lower,pending,,,,,,,,,
industrial_safety_000191,industrial_safety_analytics_database,incident,2016-07-21T00:00:00,Country_02,Local_12,Others,,,"At the Eusébio bridge, there was a sudden braking in which several cars had to brake quickly. The collaborator's car failed to stop in time and collided with the rear of the car ahead. They were about 40km / hour.",,,,,['Traffic'],[],[],[],[],[],I,II,,,v0.1,Female,Employee,at the eusébio bridge there was a sudden braking in which several cars had to brake quickly the collaborators car failed to stop in time and collided with the rear of the car ahead they were about 40km  hour,DUP_0063,1,False,2,2,1,213,['Traffic'],lower,pending,,,,,,,,,
industrial_safety_000214,industrial_safety_analytics_database,incident,2016-08-27T00:00:00,Country_01,Local_06,Metals,,,"At 22:50 hours in row 12 when the cell suction partner removes the suction hose, untimely splashes of electrolyte solution in the left eye. Immediately he was referred to the medical service.",,,,,['Pressurized Systems / Chemical Substances'],[],[],[],[],[],I,II,,,v0.1,Male,Employee,at 2250 hours in row 12 when the cell suction partner removes the suction hose untimely splashes of electrolyte solution in the left eye immediately he was referred to the medical service,DUP_0032,1,False,2,2,1,191,['Pressurized Systems / Chemical Substances'],lower,pending,,,,,,,,,
industrial_safety_000231,industrial_safety_analytics_database,incident,2016-09-20T00:00:00,Country_03,Local_10,Others,,,"Collaborator around 9:00 AM, cleaning the leaves of the return well of the 5021 borehole BRAPDD 0183 slipped on the canvas that was on the edge of the well, hitting the right side of the back against the metal structure of the mud-swathed box causing a slight excoriation. The employee was referred to the local hospital, medicated and released for the activities.",,,,,['Fall'],[],[],[],[],[],I,I,,,v0.1,Male,Third Party,collaborator around 900 am cleaning the leaves of the return well of the 5021 borehole brapdd 0183 slipped on the canvas that was on the edge of the well hitting the right side of the back against the metal structure of the mudswathed box causing a slight excoriation the employee was referred to the local hospital medicated and released for the activities,DUP_0105,1,False,1,1,1,364,['Fall'],lower,pending,,,,,,,,,
industrial_safety_000320,industrial_safety_analytics_database,incident,2017-01-24T00:00:00,Country_03,Local_10,Others,,,"On 01/24/2017, at 12:25 a.m., during the activity of collecting soil, the collaborator Milton ran into a branch and was attacked by maribondos. He was bitten twice in the head. No pain, swelling and no allergic symptoms continued with their activities.",,,,,['Venomous Animals'],[],[],[],[],[],I,I,,,v0.1,Male,Third Party,on 01242017 at 1225 am during the activity of collecting soil the collaborator milton ran into a branch and was attacked by maribondos he was bitten twice in the head no pain swelling and no allergic symptoms continued with their activities,DUP_0261,1,False,1,1,1,252,['Venomous Animals'],lower,pending,,,,,,,,,
industrial_safety_000327,industrial_safety_analytics_database,incident,2017-02-01T00:00:00,Country_03,Local_10,Others,,,"On 01/02/2017, at 10:15 a.m., when performing the Soil activity, the collaborator Alex used a pickaxe to assist in the opening of the collection hole. As he struck the ferranta on the ground, he had a fragment of rock projected on his forehead causing a small cut. The activity was paralyzed for a few moments and it was not necessary to go to the doctor, the employee continued the activities normally.",,,,,['Projection/Choco'],[],[],[],[],[],I,II,,,v0.1,Male,Third Party,on 01022017 at 1015 am when performing the soil activity the collaborator alex used a pickaxe to assist in the opening of the collection hole as he struck the ferranta on the ground he had a fragment of rock projected on his forehead causing a small cut the activity was paralyzed for a few moments and it was not necessary to go to the doctor the employee continued the activities normally,DUP_0260,1,False,2,2,1,403,['Projection/Choco'],lower,pending,,,,,,,,,
industrial_safety_000343,industrial_safety_analytics_database,incident,2017-02-15T00:00:00,Country_03,Local_10,Others,,,"On 02/15/2017 at 3:27 pm, when performing the Magnetometric using GPS, the collaborator Antônio bumped the top of the field hat on a branch and was attacked by maribondos. He was bitten behind the ear and another on the shoulder, but he continued his activity because he felt no pain or swelling.",,,,,['Venomous Animals'],[],[],[],[],[],I,I,,,v0.1,Male,Third Party,on 02152017 at 327 pm when performing the magnetometric using gps the collaborator antônio bumped the top of the field hat on a branch and was attacked by maribondos he was bitten behind the ear and another on the shoulder but he continued his activity because he felt no pain or swelling,DUP_0263,1,False,1,1,1,296,['Venomous Animals'],lower,pending,,,,,,,,,
industrial_safety_000418,industrial_safety_analytics_database,incident,2017-06-11T00:00:00,Country_01,Local_04,Mining,,,"In circumstances where the worker and two partners were placing a killer bomb in the basket of a Manitou team, the bomb hits the index finger of the right hand against the basket.",,,,,['Pressed'],[],[],[],[],[],I,II,,,v0.1,Male,Employee,in circumstances where the worker and two partners were placing a killer bomb in the basket of a manitou team the bomb hits the index finger of the right hand against the basket,DUP_0217,1,False,2,2,1,179,['Pressed'],lower,pending,,,,,,,,,
